birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
				IRI	12505285	i	0	40	Hadian, M.R.					2095			
				GRE	4215885				Hadzikonstanti, Mirsini								
				GRE	4216458				Hadzioglou, Aris								
				BAN	10204911	i	0	40	Hafizur, Rahman					1775			
				IRI	12510564				Hajipour, Mohammadhossein								
				UAE	9302654				Hamad, Saleh	FA							
				SUD	12200247				Hamza HassAn, Suliman								
				BAN	10205993				Haque, Enamul								
				IND	5048184				Hariharasudhan								
1958				USA	2024519				Hariran, Bijan								
1993				IND	5035805				Harish, Bhatti								
				BAN	10204326				Hasan, Md. Nazmul								
				BAN	10202943				Hasan, Syed Nazmul								
				IRI	12510599	i	0	20	Hassankhani, M.r.					1973			
				GRE	4221354				Hatzioanou, Dimos								
				RSA	14301482				Havenga, Petrus								
				SUD	12200220				Haydar, Mubarak								
				IND	5034450				Hedge, V.R.								
				IRI	12506613				Hedjazi, Mahdi								
				IND	5041708				Hegde, Naveen								
				IND	5048273				Hegde, Sameer								
				IND	5048290				Hemlatha, Raghuraman								
				RSA	14301571	i	0	40	Henry, Westerink					1702			
				ARG	173061				Herrera, Daniel								
				IRI	12510602	i	0	40	Hesami, Mohsen					1862			
				RSA	14301350				Hewson, Peter Llewellyn Blanshar								
1984				IND	5035813	i	0	40	Hitender, Mohanpuria					1407			
				IND	5048320				Hitesh, Marwah								
				GRE	4221397				Hitos, Vasilios								
				GRE	4221400				Hliopoulos, Rigas								
				BAN	10206000	i	0	40	Hossain, Altaf					1957			
				BAN	10204334				Hossain, Md. Akmal								
				IRI	12506168				Hosseini, Mashhad								
				IRI	12510610				Hosseini, S.r.								
1978				GRE	4214609		0	20	Hreppas, Ilias		0	20	1770	1743			
				GRE	4221451				Hrisidis, Pavlos								
				CHN	8604428				Huang, Xing								
				IND	5048346				Hubert, Joseph								
				ETH	15700151				Huluka, Fikreselassie Alemu								
				ARG	173070				Ibanez, Melina								
1979				IND	5035821				Imran, Ahmed								
				ARG	116513	i	0	40	Incicco, Feliciano					1699			
				IND	5039770				Ishaq, Ten								
				BAN	10206019				Ishrat, Jahan								
				BAN	10204520				Islam, Md. Noor								
				BAN	10204539				Islam, Md. Ziaul								
				BAN	10206027				Islam, Mf. Monirul Momotaj								
				BAN	10203753	i	0	40	Islam, Sadequl Manik					1907			
				BAN	10204628				Islam, Saidul Sayed								
				PLE	11500735				Ismaeel, Sakher								
				IND	5041481				J.S.S.Phani, Kanth [ap]								
1978				RSA	14301008				Jacobs, Kt								
				IRI	12510645				Jahanzad, Damoon								
				ARG	116793				Jaimovich, Mariano								
				IRI	12510661	i	0	40	Jamshiddoust, Ehsan					1827			
				IND	5048583				Jangale, Nilakanth								
				PLE	11500751	i	0	40	Jaradat, Shorouq Z.					1615			
				ARG	173100				Jaramillo, Javier								
				ARG	173118		4	20	Jarque, Cristian					1805			
1992				IND	5033870				Jathin, Saji Issac								
				IND	5048621				Jayadevan, K. K.								
1991				IND	5034159				Jeevesh, Mishra								
				RSA	14301628				Jenkins, Tauriq								
1970				IND	5036364				Jeya, Sagaar T.								
				IND	5048672				Jhaveri, Harshil								
				IND	5048699				Jhujhar, Singh								
				CHN	8604827				Jiao, Yunchao								
				PLE	11500760				Jilani, Alaa								
1979				PER	3804380				Jimenez, Gabriel								
				ARG	173126				Jimenez, Ulises								
				IND	5048729				Jintumoni, Singh								
				IND	5042046				Jishnu, Surendran								
				IRI	12510688		11	20	Jofreh, Manouchehr		7	20	1403	1411			
1966				IND	5048745				Jog, Subhash								
1980	0	20	1783	IND	5037026		0	20	Joglekar, Abhijit		0	20	1678	1702			
